# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
2.2400  -1.870075156558555e-02  1.488647218780119e+00  1.108035270990891e+00  6.903158777778392e-03
2.2500  -4.098553807617398e-03  1.430701274568736e+00  1.023453068526303e+00  3.315820583626867e-04
2.2600  9.891857314790309e-03  1.366331195280355e+00  9.334304675981223e-01  1.931458706238084e-03
2.2700  2.320752146029370e-02  1.295797338613135e+00  8.395453713784421e-01  1.063132176250929e-02
2.2800  3.578820477590790e-02  1.219384465027177e+00  7.434492367748076e-01  2.528189180267585e-02
2.2900  4.757663838080108e-02  1.137400613285540e+00  6.468400775511614e-01  4.468041999208701e-02
2.3000  5.851874514226419e-02  1.050175884118766e+00  5.514346937923162e-01  6.759580592965637e-02
2.3100  6.856385384879918e-02  9.580611368133223e-01  4.589405709360177e-01  9.279406113521055e-02
2.3200  7.766489993500642e-02  8.614266038679803e-01  3.710278969257612e-01  1.190636837249523e-01
2.3300  8.577861196602755e-02  7.606604291855263e-01  2.893021442643546e-01  1.452405115359064e-01
2.3400  9.286568314550020e-02  6.561671355689526e-01  2.152776549003821e-01  1.702316296762413e-01
2.3500  9.889092717008786e-02  5.483660275702944e-01  1.503526500966124e-01  1.930379240550684e-01
2.3600  1.038234178154251e-01  4.376895359954049e-01  9.578606495993644e-02  2.127748946346125e-01
2.3700  1.076366117025241e-01  3.245815105982210e-01  5.267657851111152e-02  2.286913705962432e-01
2.3800  1.103084537600686e-01  2.094954677025449e-01  2.194417549395401e-02  2.401858038668375e-01
2.3900  1.118214649663119e-01  9.289279966725102e-02  4.314536115010015e-03  2.468198569679403e-01
2.4000  1.121628120242329e-01  -2.475904673859177e-02  3.065051977018859e-04  2.483290452980171e-01
2.4100  1.113243586949041e-01  -1.429884158614860e-01  1.022284353528863e-02  2.446302420346601e-01
2.4200  1.093026985864134e-01  -2.613213053066415e-01  3.414441230358348e-02  2.358259050830939e-01
2.4300  1.060991692688699e-01  -3.792832373493794e-01  7.192788706711284e-02  2.222049390832516e-01
2.4400  1.017198476597199e-01  -4.964011322291232e-01  1.232070420391777e-01  2.042401605658521e-01
2.4500  9.617552669751954e-02  -6.122051759328697e-01  1.873975887194980e-01  1.825823900399092e-01
2.4600  8.948167339615599e-02  -7.262306750967722e-01  2.637054967257568e-01  1.580512502112256e-01
2.4700  8.165836844499341e-02  -8.380198917053143e-01  3.511386694468934e-01  1.316228037887230e-01
2.4800  7.273022759324976e-02  -9.471238503472764e-01  4.485217939483250e-01  1.044142165657760e-01
2.4900  6.272630512880152e-02  -1.053104110896004e+00  5.545141341930317e-01  7.766568083137583e-02
2.5000  5.167997983227837e-02  -1.155534499617942e+00  6.676299899036440e-01  5.271987988005852e-02
2.5100  3.962882385647345e-02  -1.254002791877460e+00  7.862615010182326e-01  3.099931571646540e-02
2.5200  2.661445504848103e-02  -1.348112339797025e+00  9.087034403565046e-01  1.398185832546150e-02
2.5300  1.268237329731831e-02  -1.437483638449004e+00  1.033179605404293e+00  3.174905516704275e-03
2.5400  -2.118218447166418e-03  -1.521755824397985e+00  1.157870394544596e+00  8.856685697148232e-05
2.5500  -1.773460777780187e-02  -1.600588100679460e+00  1.280941134018340e+00  6.208303174639341e-03
2.5600  -3.411078029201090e-02  -1.673661082591055e+00  1.400570709689932e+00  2.296746426171128e-02
2.5700  -5.118764009343642e-02  -1.740678058985007e+00  1.514980052515907e+00  5.172017152078198e-02
2.5800  -6.890324246311315e-02  -1.801366164084045e+00  1.622460028553434e+00  9.371498932917550e-02
2.5900  -8.719303778199346e-02  -1.855477455195987e+00  1.721398293370288e+00  1.500698188542544e-01
2.6000  -1.059901257422313e-01  -1.902789892073711e+00  1.810304686688941e+00  2.217484310982692e-01
2.6100  -1.252255188440222e-01  -1.943108214055331e+00  1.887834765764650e+00  3.095390323332539e-01
2.6200  -1.448284141381498e-01  -1.976264711522831e+00  1.952811105005210e+00  4.140352251670055e-01
2.6300  -1.647264721418477e-01  -2.002119888634456e+00  2.004242024232823e+00  5.356196927206136e-01
2.6400  -1.848461018272751e-01  -2.020563014715294e+00  2.041337448217679e+00  6.744508923494648e-01
2.6500  -2.051127505579351e-01  -2.031512562129869e+00  2.063521645045733e+00  8.304529996402835e-01
2.6600  -2.254511978288402e-01  -2.034916528908564e+00  2.070442639812638e+00  1.003309293777731e+00
2.6700  -2.457858516512146e-01  -2.030752644854541e+00  2.061978152291856e+00  1.192459122569308e+00
2.6800  -2.660410464120861e-01  -2.019028460317659e+00  2.038237961786349e+00  1.397098530271467e+00
2.6900  -2.861413410332985e-01  -1.999781317284944e+00  1.999562658480953e+00  1.616184574735299e+00
2.7000  -3.060118162532923e-01  -1.973078202901619e+00  1.946518797382742e+00  1.848443303173360e+00
