# omega0=1, alpha=0.233
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
3.219106550703025e+01 -3.624151772517026e-01 -3.099320828934131e-02
3.228225832716348e+01 -3.645523477609668e-01 -1.585982952362085e-02
3.237345114729671e+01 -3.653051819402943e-01 -6.409197782671749e-04
3.246464396742994e+01 -3.646681739116480e-01 1.461311839229250e-02
3.255583678756317e+01 -3.626404404199898e-01 2.985129759880057e-02
3.264702960769640e+01 -3.592257763522872e-01 4.502199990440475e-02
3.273822242782963e+01 -3.544327136978982e-01 6.007294831938544e-02
3.282941524796286e+01 -3.482745820438750e-01 7.495120282059095e-02
3.292060806809609e+01 -3.407695680566095e-01 8.960318762350895e-02
3.301180088822932e+01 -3.319407708230271e-01 1.039747556238237e-01
3.310299370836255e+01 -3.218162494301156e-01 1.180112949001922e-01
3.319418652849578e+01 -3.104290587699350e-01 1.316578809437257e-01
3.328537934862901e+01 -2.978172692858951e-01 1.448594768716634e-01
3.337657216876224e+01 -2.840239662404241e-01 1.575611823200262e-01
3.346776498889547e+01 -2.690972240967238e-01 1.697085300283706e-01
3.355895780902870e+01 -2.530900517769842e-01 1.812478273740521e-01
3.365015062916194e+01 -2.360603048905821e-01 1.921265383376527e-01
3.374134344929517e+01 -2.180705615174428e-01 2.022936996476394e-01
3.383253626942840e+01 -1.991879587769872e-01 2.117003632294935e-01
3.392372908956163e+01 -1.794839881985262e-01 2.203000556447621e-01
3.401492190969486e+01 -1.590342488145919e-01 2.280492440211259e-01
3.410611472982809e+01 -1.379181578980739e-01 2.349077971138537e-01
3.419730754996132e+01 -1.162186203248256e-01 2.408394296612993e-01
3.428850037009455e+01 -9.402165862851888e-02 2.458121181481409e-01
3.437969319022778e+01 -7.141600688340309e-02 2.497984764976569e-01
3.447088601036101e+01 -4.849267256120330e-02 2.527760810847645e-01
3.456207883049424e+01 -2.534447141905122e-02 2.547277357772842e-01
3.465327165062747e+01 -2.065541247223997e-03 2.556416694319090e-01
3.474446447076070e+01 2.124915909540251e-02 2.555116603282024e-01
3.483565729089393e+01 4.450435853092331e-02 2.543370843327170e-01
3.492685011102716e+01 6.760498348858721e-02 2.521228860442267e-01
3.501804293116039e+01 9.045666154489619e-02 2.488794746684828e-01
3.510923575129362e+01 1.129662122857779e-01 2.446225487921758e-01
3.520042857142685e+01 1.350421191829394e-01 2.393728564604012e-01
3.529162139156008e+01 1.565949769518935e-01 2.331558989103435e-01
3.538281421169331e+01 1.775379096959446e-01 2.260015878933789e-01
3.547400703182654e+01 1.977869561020136e-01 2.179438676670274e-01
3.556519985195977e+01 2.172614189994446e-01 2.090203134199232e-01
3.565639267209300e+01 2.358841776785032e-01 1.992717180950704e-01
3.574758549222623e+01 2.535819624477632e-01 1.887416793110893e-01
3.583877831235946e+01 2.702855919477378e-01 1.774761973815834e-01
3.592997113249269e+01 2.859301746945823e-01 1.655232943507381e-01
3.602116395262592e+01 3.004552771704808e-01 1.529326625637369e-01
3.611235677275915e+01 3.138050614807905e-01 1.397553496469816e-01
3.620354959289238e+01 3.259283961433838e-01 1.260434849625716e-01
3.629474241302561e+01 3.367789439511978e-01 1.118500507005418e-01
